Sales Person,Product,Date,Sales,Boxes,Expenses,Category,Team
Beverie Moffet,White Choc,2021-08-08,"$6,496",406,$117,Other,Jucies
Roddy Speechley,Orange Choco,2021-08-08,"$1,057",106,$838,Bars,Delish
Ches Bonnell,Raspberry Choco,2021-08-08,$357,17,$99,Bars,Tempo
Ches Bonnell,Drinking Coco,2021-08-08,"$6,419",257,$630,Other,Tempo
Ches Bonnell,Spicy Special Slims,2021-08-08,"$12,726",579,"$5,012",Bites,Tempo
Marney O'Breen,85% Dark Bars,2021-08-11,"$6,006",376,$259,Bars,Yummies
Kelci Walkden,99% Dark & Pure,2021-08-11,"$5,124",285,"$1,275",Bars,Yummies
Van Tuxwell,Milk Bars,2021-08-11,"$2,709",113,$209,Bars,Yummies
Barr Faughny,Milk Bars,2021-08-11,"$7,238",315,$693,Bars,Yummies
Curtice Advani,White Choc,2021-08-12,"$6,776",424,$116,Other,Delish
Husein Augar,Milk Bars,2021-08-12,$189,8,$16,Bars,Yummies
Ches Bonnell,Fruit & Nut Bars,2021-08-12,"$4,669",390,$603,Bars,Tempo
Barr Faughny,70% Dark Bites,2021-08-12,$490,35,$323,Bites,Yummies
Ches Bonnell,70% Dark Bites,2021-08-12,"$4,235",283,"$2,566",Bites,Tempo
Jan Morforth,Drinking Coco,2021-08-12,"$4,487",187,$496,Other,Delish
Dennison Crosswaite,Baker's Choco Chips,2021-08-12,"$2,653",332,"$2,362",Bars,Yummies
Wilone O'Kielt,Spicy Special Slims,2021-08-12,"$5,306",253,"$2,376",Bites,Delish
Marney O'Breen,50% Dark Bites,2021-08-12,"$6,888",689,"$1,852",Bites,Yummies
Ches Bonnell,Organic Choco Syrup,2021-08-12,$721,24,$42,Other,Tempo
Dotty Strutley,Spicy Special Slims,2021-08-12,"$8,610",345,"$3,431",Bites,Delish
Brien Boise,Fruit & Nut Bars,2021-08-12,"$11,739",903,"$1,626",Bars,Jucies
Marney O'Breen,Orange Choco,2021-08-13,"$4,774",341,"$3,416",Bars,Yummies
Brien Boise,50% Dark Bites,2021-08-13,"$6,307",789,"$2,474",Bites,Jucies
Mallorie Waber,99% Dark & Pure,2021-08-13,"$4,340",217,$930,Bars,Tempo
Andria Kimpton,70% Dark Bites,2021-08-13,"$1,078",77,$673,Bites,Jucies
Jan Morforth,Almond Choco,2021-08-13,"$5,418",247,"$3,066",Bars,Delish
Gunar Cockshoot,Choco Coated Almonds,2021-08-13,"$6,069",434,"$4,629",Bites,Yummies
Kelci Walkden,Choco Coated Almonds,2021-08-13,"$12,334",686,"$8,104",Bites,Yummies
Ches Bonnell,Drinking Coco,2021-08-13,$728,32,$83,Other,Tempo
Mallorie Waber,Baker's Choco Chips,2021-08-13,"$2,135",165,$903,Bars,Tempo
Kaine Padly,85% Dark Bars,2021-08-13,"$2,121",89,$74,Bars,Delish
Karlen McCaffrey,Milk Bars,2021-08-14,"$6,881",222,$389,Bars,Yummies
Roddy Speechley,Drinking Coco,2021-08-14,"$1,239",50,$114,Other,Delish
Marney O'Breen,Mint Chip Choco,2021-08-14,"$3,598",257,$652,Bars,Yummies
Madelene Upcott,Smooth Sliky Salty,2021-08-14,"$6,580",347,"$1,899",Bars,Jucies
Ches Bonnell,Spicy Special Slims,2021-08-14,"$1,127",54,$562,Bites,Tempo
Jehu Rudeforth,Peanut Butter Cubes,2021-08-14,"$3,605",139,$733,Bites,Tempo
Andria Kimpton,After Nines,2021-08-14,"$5,096",196,"$1,218",Bites,Jucies
Camilla Castle,99% Dark & Pure,2021-08-14,"$2,135",98,$466,Bars,Tempo
Jan Morforth,Raspberry Choco,2021-08-14,$35,3,$19,Bars,Delish
Husein Augar,70% Dark Bites,2021-08-14,"$13,090",935,"$7,707",Bites,Yummies
Gigi Bohling,Smooth Sliky Salty,2021-08-14,"$15,785",1128,"$5,209",Bars,Delish
Oby Sorrel,Fruit & Nut Bars,2021-08-14,"$14,574",810,"$1,355",Bars,Jucies
Husein Augar,Caramel Stuffed Bars,2021-08-14,"$3,556",143,$132,Bars,Yummies
Dennison Crosswaite,Fruit & Nut Bars,2021-08-14,"$14,532",969,"$1,529",Bars,Yummies
Van Tuxwell,Caramel Stuffed Bars,2021-08-14,"$4,445",159,$157,Bars,Yummies
Rafaelita Blaksland,Milk Bars,2021-08-14,"$10,339",357,$599,Bars,Yummies
Gunar Cockshoot,After Nines,2021-08-14,"$1,351",55,$408,Bites,Yummies
Dennison Crosswaite,Baker's Choco Chips,2021-08-14,"$4,011",335,"$2,404",Bars,Yummies
Rafaelita Blaksland,Fruit & Nut Bars,2021-08-14,"$5,306",483,$924,Bars,Yummies
Roddy Speechley,After Nines,2021-08-14,"$18,704",585,"$4,192",Bites,Delish
Mallorie Waber,Smooth Sliky Salty,2021-08-14,"$9,310",582,"$2,717",Bars,Tempo
Wilone O'Kielt,Eclairs,2021-08-14,"$1,211",61,$203,Bites,Delish
Andria Kimpton,Raspberry Choco,2021-08-15,"$3,094",148,$894,Bars,Jucies
Rafaelita Blaksland,Raspberry Choco,2021-08-15,"$4,949",248,"$1,709",Bars,Yummies
Curtice Advani,99% Dark & Pure,2021-08-15,$308,19,$100,Bars,Delish
Husein Augar,Caramel Stuffed Bars,2021-08-15,"$7,546",329,$337,Bars,Yummies
Karlen McCaffrey,85% Dark Bars,2021-08-15,"$6,713",373,$296,Bars,Yummies
Dotty Strutley,Caramel Stuffed Bars,2021-08-15,"$6,895",300,$259,Bars,Delish
Dennison Crosswaite,Mint Chip Choco,2021-08-15,"$3,430",202,$481,Bars,Yummies
Mallorie Waber,White Choc,2021-08-18,"$4,165",348,$93,Other,Tempo
Camilla Castle,Almond Choco,2021-08-18,"$2,380",159,"$2,398",Bars,Tempo
Gunar Cockshoot,White Choc,2021-08-18,"$6,594",413,$119,Other,Yummies
Wilone O'Kielt,Raspberry Choco,2021-08-18,"$1,428",76,$528,Bars,Delish
Beverie Moffet,Drinking Coco,2021-08-18,"$2,646",116,$333,Other,Jucies
Brien Boise,Milk Bars,2021-08-18,$238,11,$22,Bars,Jucies
Roddy Speechley,Raspberry Choco,2021-08-18,$945,50,$339,Bars,Delish
Husein Augar,Spicy Special Slims,2021-08-18,"$9,436",337,"$3,227",Bites,Yummies
Rafaelita Blaksland,Spicy Special Slims,2021-08-18,"$4,081",152,"$1,470",Bites,Yummies
Wilone O'Kielt,99% Dark & Pure,2021-08-18,"$10,556",587,"$3,173",Bars,Delish
Barr Faughny,White Choc,2021-08-18,"$2,331",167,$43,Other,Yummies
Husein Augar,Organic Choco Syrup,2021-08-19,$896,32,$68,Other,Yummies
Oby Sorrel,Manuka Honey Choco,2021-08-19,"$4,214",169,"$1,547",Other,Jucies
Oby Sorrel,Orange Choco,2021-08-19,"$2,121",177,"$1,866",Bars,Jucies
Van Tuxwell,85% Dark Bars,2021-08-19,"$1,029",47,$34,Bars,Yummies
Ches Bonnell,Mint Chip Choco,2021-08-19,"$15,407",771,"$2,061",Bars,Tempo
Gunar Cockshoot,Caramel Stuffed Bars,2021-08-19,"$10,129",406,$376,Bars,Yummies
Jan Morforth,Smooth Sliky Salty,2021-08-19,"$16,380",1092,"$5,811",Bars,Delish
Roddy Speechley,White Choc,2021-08-19,"$3,899",279,$68,Other,Delish
Gigi Bohling,Spicy Special Slims,2021-08-19,"$12,075",432,"$3,819",Bites,Delish
Husein Augar,Manuka Honey Choco,2021-08-19,"$10,696",428,"$3,850",Other,Yummies
Beverie Moffet,Almond Choco,2021-08-19,"$4,039",238,"$3,781",Bars,Jucies
Madelene Upcott,Peanut Butter Cubes,2021-08-19,"$5,250",202,$856,Bites,Jucies
Mallorie Waber,99% Dark & Pure,2021-08-19,"$8,113",508,"$2,367",Bars,Tempo
Ches Bonnell,Eclairs,2021-08-19,$161,10,$32,Bites,Tempo
Kaine Padly,Spicy Special Slims,2021-08-19,"$8,218",294,"$3,168",Bites,Delish
Curtice Advani,Baker's Choco Chips,2021-08-19,$742,53,$335,Bars,Delish
Gunar Cockshoot,After Nines,2021-08-19,"$3,087",111,$788,Bites,Yummies
Ches Bonnell,Manuka Honey Choco,2021-08-19,"$5,110",155,"$1,272",Other,Tempo
Wilone O'Kielt,Raspberry Choco,2021-08-19,"$5,873",267,"$1,465",Bars,Delish
Husein Augar,Mint Chip Choco,2021-08-19,"$4,641",357,$938,Bars,Yummies
Wilone O'Kielt,Peanut Butter Cubes,2021-08-20,"$1,155",45,$252,Bites,Delish
Brien Boise,50% Dark Bites,2021-08-20,$784,49,$159,Bites,Jucies
Camilla Castle,Mint Chip Choco,2021-08-20,"$5,369",384,$809,Bars,Tempo
Brien Boise,Eclairs,2021-08-20,$343,18,$50,Bites,Jucies
Brien Boise,70% Dark Bites,2021-08-20,"$7,007",584,"$4,910",Bites,Jucies
Kelci Walkden,Baker's Choco Chips,2021-08-20,$126,13,$79,Bars,Yummies
Marney O'Breen,99% Dark & Pure,2021-08-20,"$3,073",134,$681,Bars,Yummies
Beverie Moffet,Choco Coated Almonds,2021-08-21,"$7,805",488,"$6,492",Bites,Jucies
Andria Kimpton,After Nines,2021-08-21,"$3,087",124,$779,Bites,Jucies
Jan Morforth,Choco Coated Almonds,2021-08-21,"$9,030",452,"$6,117",Bites,Delish
Wilone O'Kielt,Smooth Sliky Salty,2021-08-21,"$7,805",411,"$2,393",Bars,Delish
Madelene Upcott,After Nines,2021-08-21,"$6,979",233,"$1,655",Bites,Jucies
Beverie Moffet,Drinking Coco,2021-08-21,"$11,284",513,"$1,360",Other,Jucies
Rafaelita Blaksland,Milk Bars,2021-08-21,"$2,408",90,$175,Bars,Yummies
Gunar Cockshoot,50% Dark Bites,2021-08-21,"$5,299",332,$958,Bites,Yummies
Brien Boise,Organic Choco Syrup,2021-08-21,"$6,293",234,$392,Other,Jucies
Ches Bonnell,Almond Choco,2021-08-21,$280,17,$254,Bars,Tempo
Gigi Bohling,85% Dark Bars,2021-08-21,$644,30,$24,Bars,Delish
Kaine Padly,Choco Coated Almonds,2021-08-21,"$2,191",110,"$1,413",Bites,Delish
Marney O'Breen,Choco Coated Almonds,2021-08-21,$427,26,$355,Bites,Yummies
Dotty Strutley,Smooth Sliky Salty,2021-08-21,"$5,537",426,"$2,053",Bars,Delish
Madelene Upcott,99% Dark & Pure,2021-08-21,$742,31,$149,Bars,Jucies
Van Tuxwell,85% Dark Bars,2021-08-21,"$4,200",248,$181,Bars,Yummies
Ches Bonnell,Baker's Choco Chips,2021-08-21,"$5,299",442,"$2,473",Bars,Tempo
Ches Bonnell,Caramel Stuffed Bars,2021-08-21,"$3,829",160,$130,Bars,Tempo
Oby Sorrel,Manuka Honey Choco,2021-08-21,"$5,747",192,"$1,530",Other,Jucies
Curtice Advani,85% Dark Bars,2021-08-21,"$2,345",147,$115,Bars,Delish
Karlen McCaffrey,Orange Choco,2021-08-22,"$4,312",616,"$5,305",Bars,Yummies
Camilla Castle,85% Dark Bars,2021-08-22,"$1,358",68,$51,Bars,Tempo
Barr Faughny,Orange Choco,2021-08-22,"$13,146",1644,"$14,301",Bars,Yummies
Gigi Bohling,White Choc,2021-08-22,"$12,047",927,$203,Other,Delish
Ches Bonnell,Smooth Sliky Salty,2021-08-22,"$5,971",460,"$2,679",Bars,Tempo
Marney O'Breen,50% Dark Bites,2021-08-22,"$3,038",254,$711,Bites,Yummies
Oby Sorrel,Organic Choco Syrup,2021-08-22,"$8,022",268,$430,Other,Jucies
Marney O'Breen,Baker's Choco Chips,2021-08-22,"$2,226",248,"$1,418",Bars,Yummies
Brien Boise,Caramel Stuffed Bars,2021-08-22,"$2,366",79,$84,Bars,Jucies
Roddy Speechley,50% Dark Bites,2021-08-22,"$8,386",599,"$1,610",Bites,Delish
Gunar Cockshoot,Organic Choco Syrup,2021-08-22,"$13,230",576,"$1,025",Other,Yummies
Rafaelita Blaksland,Almond Choco,2021-08-22,"$1,771",111,"$1,378",Bars,Yummies
Jan Morforth,Raspberry Choco,2021-08-22,"$3,416",228,"$1,585",Bars,Delish
Rafaelita Blaksland,85% Dark Bars,2021-08-22,"$15,197",634,$485,Bars,Yummies
Ches Bonnell,Baker's Choco Chips,2021-08-22,"$5,971",498,"$3,604",Bars,Tempo
Dennison Crosswaite,Orange Choco,2021-08-22,"$13,335",1667,"$14,648",Bars,Yummies
Van Tuxwell,Choco Coated Almonds,2021-08-22,"$4,613",210,"$2,529",Bites,Yummies
Karlen McCaffrey,Fruit & Nut Bars,2021-08-22,"$10,430",580,$989,Bars,Yummies
Oby Sorrel,Almond Choco,2021-08-22,$168,10,$144,Bars,Jucies
Camilla Castle,99% Dark & Pure,2021-08-22,"$4,606",192,"$1,011",Bars,Tempo
Husein Augar,White Choc,2021-08-22,"$1,491",136,$34,Other,Yummies
Dennison Crosswaite,99% Dark & Pure,2021-08-25,"$12,194",509,"$2,609",Bars,Yummies
Karlen McCaffrey,Raspberry Choco,2021-08-25,"$10,122",533,"$3,901",Bars,Yummies
Andria Kimpton,99% Dark & Pure,2021-08-25,"$1,841",88,$402,Bars,Jucies
Marney O'Breen,Orange Choco,2021-08-25,"$6,958",580,"$4,893",Bars,Yummies
Kaine Padly,99% Dark & Pure,2021-08-25,$749,35,$152,Bars,Delish
Marney O'Breen,Raspberry Choco,2021-08-25,"$3,507",195,"$1,320",Bars,Yummies
Rafaelita Blaksland,Baker's Choco Chips,2021-08-25,"$7,294",562,"$3,623",Bars,Yummies
Brien Boise,Fruit & Nut Bars,2021-08-25,"$5,040",420,$756,Bars,Jucies
Brien Boise,Organic Choco Syrup,2021-08-25,"$3,913",157,$271,Other,Jucies
Andria Kimpton,50% Dark Bites,2021-08-25,"$3,598",300,$764,Bites,Jucies
Beverie Moffet,Spicy Special Slims,2021-08-25,"$8,911",319,"$3,437",Bites,Jucies
Ches Bonnell,Peanut Butter Cubes,2021-08-25,$42,2,$11,Bites,Tempo
Jan Morforth,Choco Coated Almonds,2021-08-25,"$2,282",109,"$1,338",Bites,Delish
Van Tuxwell,99% Dark & Pure,2021-08-25,"$12,964",541,"$3,000",Bars,Yummies
Andria Kimpton,Smooth Sliky Salty,2021-08-25,"$5,775",361,"$2,012",Bars,Jucies
Marney O'Breen,Spicy Special Slims,2021-08-25,"$10,787",400,"$3,757",Bites,Yummies
Oby Sorrel,Choco Coated Almonds,2021-08-25,"$6,342",374,"$4,933",Bites,Jucies
Dotty Strutley,Peanut Butter Cubes,2021-08-25,"$11,564",463,"$2,506",Bites,Delish
Gunar Cockshoot,Raspberry Choco,2021-08-25,"$2,793",156,"$1,047",Bars,Yummies
Madelene Upcott,70% Dark Bites,2021-08-25,"$1,603",134,"$1,226",Bites,Jucies
Curtice Advani,Almond Choco,2021-08-25,"$3,052",180,"$2,307",Bars,Delish
Karlen McCaffrey,Choco Coated Almonds,2021-08-25,"$1,659",83,$961,Bites,Yummies
Barr Faughny,Mint Chip Choco,2021-08-25,"$3,143",210,$561,Bars,Yummies
Dennison Crosswaite,Choco Coated Almonds,2021-08-25,"$12,782",609,"$6,356",Bites,Yummies
Mallorie Waber,70% Dark Bites,2021-08-25,$343,32,$277,Bites,Tempo
Brien Boise,White Choc,2021-08-25,"$1,785",138,$39,Other,Jucies
Brien Boise,Orange Choco,2021-08-25,"$4,914",615,"$5,728",Bars,Jucies
Madelene Upcott,White Choc,2021-08-26,"$1,869",208,$46,Other,Jucies
Wilone O'Kielt,Spicy Special Slims,2021-08-26,"$8,512",387,"$3,493",Bites,Delish
Van Tuxwell,Orange Choco,2021-08-26,"$9,296",716,"$6,795",Bars,Yummies
Oby Sorrel,Drinking Coco,2021-08-26,"$6,034",263,$593,Other,Jucies
Jehu Rudeforth,After Nines,2021-08-26,"$9,471",365,"$2,662",Bites,Tempo
Kelci Walkden,Peanut Butter Cubes,2021-08-26,"$3,815",166,$820,Bites,Yummies
Barr Faughny,Eclairs,2021-08-26,"$9,485",527,"$1,590",Bites,Yummies
Marney O'Breen,Organic Choco Syrup,2021-08-26,"$3,549",132,$209,Other,Yummies
Wilone O'Kielt,Orange Choco,2021-08-26,"$1,512",117,"$1,049",Bars,Delish
Jan Morforth,Organic Choco Syrup,2021-08-26,"$2,296",96,$188,Other,Delish
Husein Augar,Milk Bars,2021-08-27,"$17,402",697,"$1,508",Bars,Yummies
Kelci Walkden,Fruit & Nut Bars,2021-08-27,"$11,816",844,"$1,318",Bars,Yummies
Rafaelita Blaksland,Organic Choco Syrup,2021-08-27,"$10,612",425,$876,Other,Yummies
Barr Faughny,Milk Bars,2021-08-27,"$5,558",192,$412,Bars,Yummies
Mallorie Waber,Raspberry Choco,2021-08-27,"$14,056",781,"$5,430",Bars,Tempo
Andria Kimpton,Organic Choco Syrup,2021-08-27,"$5,131",166,$278,Other,Jucies
Marney O'Breen,99% Dark & Pure,2021-08-27,"$1,477",87,$381,Bars,Yummies
Curtice Advani,Raspberry Choco,2021-08-27,"$7,686",549,"$3,448",Bars,Delish
Van Tuxwell,85% Dark Bars,2021-08-27,"$8,722",460,$288,Bars,Yummies
Ches Bonnell,Organic Choco Syrup,2021-08-27,"$6,370",206,$334,Other,Tempo
Gunar Cockshoot,85% Dark Bars,2021-08-27,"$4,074",240,$162,Bars,Yummies
Roddy Speechley,After Nines,2021-08-27,"$1,309",51,$362,Bites,Delish
Kaine Padly,Smooth Sliky Salty,2021-08-27,"$4,991",357,"$1,953",Bars,Delish
Wilone O'Kielt,Peanut Butter Cubes,2021-08-27,"$6,965",367,"$1,589",Bites,Delish
Kelci Walkden,Manuka Honey Choco,2021-08-27,"$10,199",408,"$2,898",Other,Yummies
Karlen McCaffrey,Choco Coated Almonds,2021-08-27,"$7,392",390,"$5,010",Bites,Yummies
Barr Faughny,Fruit & Nut Bars,2021-08-27,"$5,880",392,$743,Bars,Yummies
Wilone O'Kielt,After Nines,2021-08-27,"$5,950",238,"$1,630",Bites,Delish
Dotty Strutley,Organic Choco Syrup,2021-08-27,"$10,395",336,$640,Other,Delish
Jehu Rudeforth,Drinking Coco,2021-08-27,"$6,174",247,$698,Other,Tempo
Wilone O'Kielt,70% Dark Bites,2021-08-27,"$15,239",1524,"$12,060",Bites,Delish
Mallorie Waber,Orange Choco,2021-08-27,"$2,219",247,"$2,192",Bars,Tempo
Rafaelita Blaksland,70% Dark Bites,2021-08-27,"$3,150",243,"$2,143",Bites,Yummies
Rafaelita Blaksland,Baker's Choco Chips,2021-08-27,"$2,968",212,"$1,199",Bars,Yummies
Dennison Crosswaite,Mint Chip Choco,2021-08-27,"$3,241",163,$380,Bars,Yummies
Kelci Walkden,Drinking Coco,2021-08-27,"$3,605",151,$344,Other,Yummies
Oby Sorrel,99% Dark & Pure,2021-08-28,"$3,640",174,$803,Bars,Jucies
Husein Augar,99% Dark & Pure,2021-08-28,"$1,309",77,$431,Bars,Yummies
Jan Morforth,Eclairs,2021-08-28,"$10,346",739,"$2,188",Bites,Delish
Kelci Walkden,Raspberry Choco,2021-08-28,"$1,071",54,$369,Bars,Yummies
Husein Augar,70% Dark Bites,2021-08-28,"$6,328",791,"$7,563",Bites,Yummies
Kaine Padly,After Nines,2021-08-28,"$1,820",68,$453,Bites,Delish
Andria Kimpton,Choco Coated Almonds,2021-08-28,"$3,437",157,"$2,143",Bites,Jucies
Rafaelita Blaksland,White Choc,2021-08-28,"$4,550",455,$108,Other,Yummies
Barr Faughny,Drinking Coco,2021-08-28,"$2,968",110,$264,Other,Yummies
Dotty Strutley,Eclairs,2021-08-28,"$12,565",898,"$2,861",Bites,Delish
Rafaelita Blaksland,Milk Bars,2021-08-28,"$8,246",318,$664,Bars,Yummies
Andria Kimpton,Mint Chip Choco,2021-08-28,"$1,190",70,$151,Bars,Jucies
Roddy Speechley,Eclairs,2021-08-28,"$3,283",183,$531,Bites,Delish
Ches Bonnell,Manuka Honey Choco,2021-08-28,"$3,087",115,$989,Other,Tempo
Oby Sorrel,Choco Coated Almonds,2021-08-28,"$6,531",297,"$3,577",Bites,Jucies
Marney O'Breen,White Choc,2021-08-28,"$4,228",249,$65,Other,Yummies
Roddy Speechley,Caramel Stuffed Bars,2021-08-28,"$10,094",389,$406,Bars,Delish
Mallorie Waber,Milk Bars,2021-08-28,$182,6,$13,Bars,Tempo
Jehu Rudeforth,White Choc,2021-08-28,$616,37,$10,Other,Tempo
Roddy Speechley,Smooth Sliky Salty,2021-08-29,"$12,131",809,"$3,939",Bars,Delish
Kaine Padly,Drinking Coco,2021-08-29,"$2,394",93,$253,Other,Delish
Karlen McCaffrey,White Choc,2021-08-29,"$14,287",841,$227,Other,Yummies
Husein Augar,Almond Choco,2021-08-29,"$10,941",730,"$10,329",Bars,Yummies
Roddy Speechley,Drinking Coco,2021-08-29,"$7,777",260,$612,Other,Delish
Curtice Advani,Orange Choco,2021-08-29,"$9,436",858,"$8,218",Bars,Delish
Kaine Padly,Fruit & Nut Bars,2021-08-29,"$1,267",116,$205,Bars,Delish
Kaine Padly,After Nines,2021-08-29,"$8,806",327,"$1,908",Bites,Delish
Curtice Advani,Choco Coated Almonds,2021-08-29,"$3,640",243,"$2,620",Bites,Delish
Kaine Padly,Caramel Stuffed Bars,2021-08-29,"$4,900",182,$162,Bars,Delish
Madelene Upcott,White Choc,2021-08-29,"$5,558",348,$90,Other,Jucies
Camilla Castle,Almond Choco,2021-08-29,"$9,142",436,"$5,878",Bars,Tempo
Dennison Crosswaite,Mint Chip Choco,2021-08-29,"$3,514",235,$623,Bars,Yummies
Beverie Moffet,50% Dark Bites,2021-08-29,$140,10,$30,Bites,Jucies
